N,iters,repeat_index,time_ms,avg_over_repeats
32768,1500000,0,362.846,359.79400000000004
32768,1500000,1,352.815,359.79400000000004
32768,1500000,2,363.721,359.79400000000004
40000,1500000,0,367.875,361.2383333333333
40000,1500000,1,354.935,361.2383333333333
40000,1500000,2,360.905,361.2383333333333
50000,1500000,0,460.77,468.89466666666664
50000,1500000,1,472.275,468.89466666666664
50000,1500000,2,473.639,468.89466666666664
65536,1500000,0,556.356,560.933
65536,1500000,1,560.802,560.933
65536,1500000,2,565.641,560.933
131072,1500000,0,840.044,834.3493333333332
131072,1500000,1,842.719,834.3493333333332
131072,1500000,2,820.285,834.3493333333332
262144,1500000,0,1377.66,1373.747
262144,1500000,1,1370.051,1373.747
262144,1500000,2,1373.53,1373.747
524288,1500000,0,2571.245,2566.6299999999997
524288,1500000,1,2562.001,2566.6299999999997
524288,1500000,2,2566.644,2566.6299999999997
1048576,1500000,0,4923.645,4927.327666666667
1048576,1500000,1,4930.314,4927.327666666667
1048576,1500000,2,4928.024,4927.327666666667
